am 12:00	ровно                                
am 09:55	ровно   без            пяти          
am 09:56	        без            пяти          
am 09:57	  почти                              
am 09:58	  почти                              
am 09:59	                                     

am 10:00	ровно                                
am 10:01	                                     
am 10:02	                                     
am 10:03	              начало                 
am 10:04	              начало                 
am 10:05	ровно                  пять   минут  
am 10:06	                       пять   минут  
am 10:07	                       пять   минут  
am 10:08	  почти       десять          минут  
am 10:09	              десять          минут  
am 10:10	ровно         десять          минут  
am 10:11	              десять          минут  
am 10:12	              десять          минут  
am 10:13	  почти       четверть               
am 10:14	              четверть               
am 10:15	ровно         четверть               
am 10:16	              четверть               
am 10:17	              четверть               
am 10:18	  почти       двадцать        минут  
am 10:19	              двадцать        минут  
am 10:20	ровно         двадцать        минут  
am 10:21	              двадцать        минут  
am 10:22	              двадцать        минут  
am 10:23	  почти       двадцать пять   минут  
am 10:24	              двадцать пять   минут  
am 10:25	ровно         двадцать пять   минут  
am 10:26	              двадцать пять   минут  
am 10:27	  почти       половина               
am 10:28	  почти       половина               
am 10:29	              половина               
am 10:30	ровно         половина               
am 10:31	              половина               
am 10:32	              половина               
am 10:33	  почти без   двадцати пяти   минут  
am 10:34	        без   двадцати пяти   минут  
am 10:35	ровно   без   двадцати пяти   минут  
am 10:36	        без   двадцати пяти   минут  
am 10:37	        без   двадцати пяти   минут  
am 10:38	  почти без   двадцати        минут  
am 10:39	        без   двадцати        минут  
am 10:40	ровно   без   двадцати        минут  
am 10:41	        без   двадцати        минут  
am 10:42	        без   двадцати        минут  
am 10:43	  почти без   четверти               
am 10:44	        без   четверти               
am 10:45	ровно   без   четверти               
am 10:46	        без   четверти               
am 10:47	        без   четверти               
am 10:48	  почти без   десяти                 
am 10:49	        без   десяти                 
am 10:50	ровно   без   десяти                 
am 10:51	        без   десяти                 
am 10:52	        без   десяти                 
am 10:53	  почти без            пяти          
am 10:54	        без            пяти          
am 10:55	ровно   без            пяти          
am 10:56	        без            пяти          
am 10:57	  почти                              
am 10:58	  почти                              
am 10:59	                                     

am 11:00	ровно                                
am 11:01	                                     
am 11:02	                                     
am 11:03	              начало                 
am 11:04	              начало                 
am 11:05	ровно                  пять   минут  
am 11:06	                       пять   минут  
am 11:07	                       пять   минут  
am 11:08	  почти       десять          минут  
am 11:09	              десять          минут  
am 11:10	ровно         десять          минут  
am 11:11	              десять          минут  
am 11:12	              десять          минут  
am 11:13	  почти       четверть               
am 11:14	              четверть               
am 11:15	ровно         четверть               
am 11:16	              четверть               
am 11:17	              четверть               
am 11:18	  почти       двадцать        минут  
am 11:19	              двадцать        минут  
am 11:20	ровно         двадцать        минут  
am 11:21	              двадцать        минут  
am 11:22	              двадцать        минут  
am 11:23	  почти       двадцать пять   минут  
am 11:24	              двадцать пять   минут  
am 11:25	ровно         двадцать пять   минут  
am 11:26	              двадцать пять   минут  
am 11:27	  почти       половина               
am 11:28	  почти       половина               
am 11:29	              половина               
am 11:30	ровно         половина               
am 11:31	              половина               
am 11:32	              половина               
am 11:33	  почти без   двадцати пяти   минут  
am 11:34	        без   двадцати пяти   минут  
am 11:35	ровно   без   двадцати пяти   минут  
am 11:36	        без   двадцати пяти   минут  
am 11:37	        без   двадцати пяти   минут  
am 11:38	  почти без   двадцати        минут  
am 11:39	        без   двадцати        минут  
am 11:40	ровно   без   двадцати        минут  
am 11:41	        без   двадцати        минут  
am 11:42	        без   двадцати        минут  
am 11:43	  почти без   четверти               
am 11:44	        без   четверти               
am 11:45	ровно   без   четверти               
am 11:46	        без   четверти               
am 11:47	        без   четверти               
am 11:48	  почти без   десяти                 
am 11:49	        без   десяти                 
am 11:50	ровно   без   десяти                 
am 11:51	        без   десяти                 
am 11:52	        без   десяти                 
am 11:53	  почти без            пяти          
am 11:54	        без            пяти          
am 11:55	ровно   без            пяти          
am 11:56	        без            пяти          
am 11:57	  почти                              
am 11:58	  почти                              
am 11:59	                                     


pm 12:00	ровно                                
pm 12:01	                                     
pm 12:02	                                     
pm 12:03	              начало                 
pm 12:04	              начало                 
pm 12:05	ровно                  пять   минут  
pm 12:06	                       пять   минут  
pm 12:07	                       пять   минут  
pm 12:08	  почти       десять          минут  
pm 12:09	              десять          минут  
pm 12:10	ровно         десять          минут  
pm 12:11	              десять          минут  
pm 12:12	              десять          минут  
pm 12:13	  почти       четверть               
pm 12:14	              четверть               
pm 12:15	ровно         четверть               
pm 12:16	              четверть               
pm 12:17	              четверть               
pm 12:18	  почти       двадцать        минут  
pm 12:19	              двадцать        минут  
pm 12:20	ровно         двадцать        минут  
pm 12:21	              двадцать        минут  
pm 12:22	              двадцать        минут  
pm 12:23	  почти       двадцать пять   минут  
pm 12:24	              двадцать пять   минут  
pm 12:25	ровно         двадцать пять   минут  
pm 12:26	              двадцать пять   минут  
pm 12:27	  почти       половина               
pm 12:28	  почти       половина               
pm 12:29	              половина               
pm 12:30	ровно         половина               
pm 12:31	              половина               
pm 12:32	              половина               
pm 12:33	  почти без   двадцати пяти   минут  
pm 12:34	        без   двадцати пяти   минут  
pm 12:35	ровно   без   двадцати пяти   минут  
pm 12:36	        без   двадцати пяти   минут  
pm 12:37	        без   двадцати пяти   минут  
pm 12:38	  почти без   двадцати        минут  
pm 12:39	        без   двадцати        минут  
pm 12:40	ровно   без   двадцати        минут  
pm 12:41	        без   двадцати        минут  
pm 12:42	        без   двадцати        минут  
pm 12:43	  почти без   четверти               
pm 12:44	        без   четверти               
pm 12:45	ровно   без   четверти               
pm 12:46	        без   четверти               
pm 12:47	        без   четверти               
pm 12:48	  почти без   десяти                 
pm 12:49	        без   десяти                 
pm 12:50	ровно   без   десяти                 
pm 12:51	        без   десяти                 
pm 12:52	        без   десяти                 
pm 12:53	  почти без            пяти          
pm 12:54	        без            пяти          
pm 12:55	ровно   без            пяти          
pm 12:56	        без            пяти          
pm 12:57	  почти                              
pm 12:58	  почти                              
pm 12:59	                                     

pm 01:00	ровно                                
pm 01:01	                                     
pm 01:02	                                     
pm 01:03	              начало                 
pm 01:04	              начало                 
pm 01:05	ровно                  пять   минут  
pm 01:06	                       пять   минут  
pm 01:07	                       пять   минут  
pm 01:08	  почти       десять          минут  
pm 01:09	              десять          минут  
pm 01:10	ровно         десять          минут  
pm 01:11	              десять          минут  
pm 01:12	              десять          минут  
pm 01:13	  почти       четверть               
pm 01:14	              четверть               
pm 01:15	ровно         четверть               
pm 01:16	              четверть               
pm 01:17	              четверть               
pm 01:18	  почти       двадцать        минут  
pm 01:19	              двадцать        минут  
pm 01:20	ровно         двадцать        минут  
pm 01:21	              двадцать        минут  
pm 01:22	              двадцать        минут  
pm 01:23	  почти       двадцать пять   минут  
pm 01:24	              двадцать пять   минут  
pm 01:25	ровно         двадцать пять   минут  
pm 01:26	              двадцать пять   минут  
pm 01:27	  почти       половина               
pm 01:28	  почти       половина               
pm 01:29	              половина               
pm 01:30	ровно         половина               
pm 01:31	              половина               
pm 01:32	              половина               
pm 01:33	  почти без   двадцати пяти   минут  
pm 01:34	        без   двадцати пяти   минут  
pm 01:35	ровно   без   двадцати пяти   минут  
pm 01:36	        без   двадцати пяти   минут  
pm 01:37	        без   двадцати пяти   минут  
pm 01:38	  почти без   двадцати        минут  
pm 01:39	        без   двадцати        минут  
pm 01:40	ровно   без   двадцати        минут  
pm 01:41	        без   двадцати        минут  
pm 01:42	        без   двадцати        минут  
pm 01:43	  почти без   четверти               
pm 01:44	        без   четверти               
pm 01:45	ровно   без   четверти               
pm 01:46	        без   четверти               
pm 01:47	        без   четверти               
pm 01:48	  почти без   десяти                 
pm 01:49	        без   десяти                 
pm 01:50	ровно   без   десяти                 
pm 01:51	        без   десяти                 
pm 01:52	        без   десяти                 
pm 01:53	  почти без            пяти          
pm 01:54	        без            пяти          
pm 01:55	ровно   без            пяти          
pm 01:56	        без            пяти          
pm 01:57	  почти                              
pm 01:58	  почти                              
pm 01:59	                                     

pm 02:00	ровно                                
pm 02:01	                                     
pm 02:02	                                     
pm 02:03	              начало                 
pm 02:04	              начало                 
pm 02:05	ровно                  пять   минут  
pm 02:06	                       пять   минут  
pm 02:07	                       пять   минут  
pm 02:08	  почти       десять          минут  
pm 02:09	              десять          минут  
pm 02:10	ровно         десять          минут  
pm 02:11	              десять          минут  
pm 02:12	              десять          минут  
pm 02:13	  почти       четверть               
pm 02:14	              четверть               
pm 02:15	ровно         четверть               
pm 02:16	              четверть               
pm 02:17	              четверть               
pm 02:18	  почти       двадцать        минут  
pm 02:19	              двадцать        минут  
pm 02:20	ровно         двадцать        минут  
pm 02:21	              двадцать        минут  
pm 02:22	              двадцать        минут  
pm 02:23	  почти       двадцать пять   минут  
pm 02:24	              двадцать пять   минут  
pm 02:25	ровно         двадцать пять   минут  
pm 02:26	              двадцать пять   минут  
pm 02:27	  почти       половина               
pm 02:28	  почти       половина               
pm 02:29	              половина               
pm 02:30	ровно         половина               
pm 02:31	              половина               
pm 02:32	              половина               
pm 02:33	  почти без   двадцати пяти   минут  
pm 02:34	        без   двадцати пяти   минут  
pm 02:35	ровно   без   двадцати пяти   минут  
pm 02:36	        без   двадцати пяти   минут  
pm 02:37	        без   двадцати пяти   минут  
pm 02:38	  почти без   двадцати        минут  
pm 02:39	        без   двадцати        минут  
